region_pays,annee,population_a_risque,cas_estimes_inf,cas_estimes_point,cas_estimes_sup,deces_estimes_inf,deces_estimes_point,deces_estimes_sup,taux_letalite_pct,incidence_pour_1000,mortalite_pour_100k
Afghanistan,2023,32006328,326000,424307,539000,88,202,340,0.0476,13.257,0.6311
Algeria,2023,2711686,NA,0,NA,NA,0,NA,NA,0,0
Angola,2023,36749906,4855000,8251449,13010000,11200,16169,25300,0.196,224.5298,43.9974
Argentina,2023,227692,NA,0,NA,NA,0,NA,NA,0,0
Armenia,2023,2943393,NA,0,NA,NA,0,NA,NA,0,0
Azerbaijan,2023,237318,NA,0,NA,NA,0,NA,NA,0,0
Bangladesh,2023,18479042,17000,20376,24000,15,31,49,0.1521,1.1027,0.1678
Belize,2023,283662,NA,0,NA,NA,0,NA,NA,0,0
Benin,2023,14111034,3224000,5127891,7722000,7840,9928,12700,0.1936,363.3958,70.3563
Bhutan,2023,581924,NA,0,NA,NA,0,NA,NA,0,0
Bolivia (Plurinational State of),2023,5554807,11000,13940,17000,3,7,13,0.0502,2.5095,0.126
Botswana,2023,1644352,590,778,1100,NA,4,NA,0.5141,0.4731,0.2433
Brazil,2023,42861567,146000,163461,177000,NA,73,NA,0.0447,3.8137,0.1703
Burkina Faso,2023,23025776,5382000,8139355,11700000,11300,16146,24000,0.1984,353.4888,70.1214
Burundi,2023,13689449,1627000,3354726,6270000,5100,6302,8350,0.1879,245.0592,46.0355
Cabo Verde,2023,135805,NA,0,NA,NA,0,NA,NA,0,0
Cambodia,2023,12395095,5200,6012,7100,0,2,4,0.0333,0.485,0.0161
Cameroon,2023,28372687,5284000,7343057,10010000,9710,11602,14300,0.158,258.8072,40.8914
Central African Republic,2023,5152420,963000,1574284,2417000,3900,5052,6560,0.3209,305.5426,98.051
Chad,2023,19107520,2356000,3946418,6198000,10400,13707,18900,0.3473,206.5374,71.7362
China,2023,594953470,NA,0,NA,NA,0,NA,NA,0,0
Colombia,2023,11583379,93000,122467,153000,NA,22,NA,0.018,10.5726,0.1899
Comoros,2023,850387,NA,21049,NA,25,53,82,0.2518,24.7523,6.2325
Congo,2023,6182885,842000,1327964,1999000,1970,2244,2810,0.169,214.7806,36.2937
Costa Rica,2023,1786933,NA,543,NA,NA,0,NA,0,0.3039,0
Côte d’Ivoire,2023,31165654,5301000,7835921,11240000,9200,10771,12700,0.1375,251.4281,34.5605
Democratic People’s Republic of Korea,2023,10327765,NA,3160,NA,NA,0,NA,0,0.306,0
Democratic Republic of the Congo,2023,105789731,24830000,33140568,43540000,43200,67464,110000,0.2036,313.2683,63.7718
Djibouti,2023,864614,NA,38944,NA,38,80,120,0.2054,45.0421,9.2527
Dominican Republic,2023,6241487,NA,253,NA,NA,0,NA,0,0.0405,0
Ecuador,2023,10189313,NA,604,NA,NA,0,NA,0,0.0593,0
Egypt,2023,114535771,NA,0,NA,NA,0,NA,NA,0,0
El Salvador,2023,1280853,NA,0,NA,NA,0,NA,NA,0,0
Equatorial Guinea,2023,1847549,253000,422756,658000,640,757,970,0.1791,228.8199,40.9732
Eritrea,2023,3470389,141000,219981,306000,190,459,840,0.2087,63.388,13.2262
Eswatini,2023,344541,NA,597,NA,NA,7,NA,1.1725,1.7327,2.0317
Ethiopia,2023,87510350,5298000,9559569,14290000,6800,18567,35900,0.1942,109.2393,21.2169
French Guiana,2023,167866,NA,189,NA,NA,0,NA,0,1.1259,0
